"","strain","hit_score.methylmalonyl-CoA-carboxyltransferase13S","hit_id.methylmalonyl-CoA-carboxyltransferase13S","description.methylmalonyl-CoA-carboxyltransferase13S","hit_score.methylmalonyl-CoA-carboxyltransferase5S","hit_id.methylmalonyl-CoA-carboxyltransferase5S","description.methylmalonyl-CoA-carboxyltransferase5S","hit_score.methylmalonyl-CoA-decarboxylaseBeta","hit_id.methylmalonyl-CoA-decarboxylaseBeta","description.methylmalonyl-CoA-decarboxylaseBeta","hit_score.methylmalonyl-CoA-decarboxylaseGamma","hit_id.methylmalonyl-CoA-decarboxylaseGamma","description.methylmalonyl-CoA-decarboxylaseGamma","hit_score.methylmalonyl-CoA-carboxyltransferase12S","hit_id.methylmalonyl-CoA-carboxyltransferase12S","description.methylmalonyl-CoA-carboxyltransferase12S","hit_score.methylmalonyl-CoA-decarboxylaseAlpha","hit_id.methylmalonyl-CoA-decarboxylaseAlpha","description.methylmalonyl-CoA-decarboxylaseAlpha","hit_score.methylmalonyl-CoA-mutase","hit_id.methylmalonyl-CoA-mutase","description.methylmalonyl-CoA-mutase","hit_score.methylmalonyl-CoA-epimerase","hit_id.methylmalonyl-CoA-epimerase","description.methylmalonyl-CoA-epimerase","pathway","hit_score.lcdC","hit_id.lcdC","description.lcdC","hit_score.pct","hit_id.pct","description.pct","hit_score.lcdA","hit_id.lcdA","description.lcdA","hit_score.lcdB","hit_id.lcdB","description.lcdB","hit_score.fucO","hit_id.fucO","description.fucO","hit_score.pduW","hit_id.pduW","description.pduW","hit_score.pduL","hit_id.pduL","description.pduL","hit_score.pduP","hit_id.pduP","description.pduP","hit_score.pduC","hit_id.pduC","description.pduC","hit_score.pduD","hit_id.pduD","description.pduD","hit_score.Roseburia-inulivorans-pduCDE","hit_id.Roseburia-inulivorans-pduCDE","description.Roseburia-inulivorans-pduCDE","hit_score.pduE","hit_id.pduE","description.pduE"
"13","Bacteroides-dorei-5-1-36-D4-MAF-2",NA,NA,NA,NA,NA,NA,612.6,"1_2609/8-385","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",196.3,"1_2610/1-143","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,942.2,"1_2612/3-517","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",876.9,"1_2088/10-696","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-mutase",229.7,"1_2613/1-137","Bacteroides-dorei-5-1-36-D4-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Bacteroides-dorei-DSM-17855-MAF-2",NA,NA,NA,NA,NA,NA,612.9,"1_2663/8-385","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",196.8,"1_2664/1-143","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,942.2,"1_2666/3-517","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",876.9,"1_323/10-696","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-mutase",229.7,"1_2667/1-137","Bacteroides-dorei-DSM-17855-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Bacteroides-eggerthii-DSM-20697-MAF-2",NA,NA,NA,NA,NA,NA,612.5,"1_1774/9-385","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",195.9,"1_1775/1-143","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,938.2,"1_1777/3-517","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",881.6,"1_3426/7-711","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-mutase",228.7,"1_1778/1-137","Bacteroides-eggerthii-DSM-20697-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Bacteroides-finegoldii-DSM-17565-MAF-2",NA,NA,NA,NA,NA,NA,614.9,"1_3755/8-385","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",195.5,"1_3754/1-143","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,938.5,"1_3752/3-517","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",878.4,"1_4070/7-711","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-mutase",229.5,"1_3751/1-134","Bacteroides-finegoldii-DSM-17565-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Bacteroides-fragilis-2-1-16-MAF-2",NA,NA,NA,NA,NA,NA,612.7,"1_3767/9-385","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",197.1,"1_3766/1-143","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.6,"1_3764/3-517","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",877.9,"1_4259/7-711","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-mutase",227.7,"1_3763/1-134","Bacteroides-fragilis-2-1-16-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Bacteroides-fragilis-3-1-12-MAF-2",NA,NA,NA,NA,NA,NA,612.7,"1_4107/9-385","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",195.3,"1_4106/1-143","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.6,"1_4104/3-517","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",878,"1_4631/7-711","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-mutase",230,"1_4103/1-134","Bacteroides-fragilis-3-1-12-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Bacteroides-intestinalis-DSM-17393-MAF-2",NA,NA,NA,NA,NA,NA,613,"1_2251/9-385","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",197.5,"1_2252/1-141","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,934.8,"1_2254/3-517","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",877.5,"1_4616/7-711","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-mutase",234,"1_2255/1-136","Bacteroides-intestinalis-DSM-17393-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Bacteroides-ovatus-ATCC-8483-MAF-2",NA,NA,NA,NA,NA,NA,616.2,"1_4479/8-385","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",198.2,"1_4478/1-143","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,936.3,"1_4476/3-517","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",879.2,"1_4844/7-711","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-mutase",229.5,"1_4475/1-134","Bacteroides-ovatus-ATCC-8483-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Bacteroides-plebeius-DSM-17135-MAF-2",NA,NA,NA,NA,NA,NA,614.6,"1_1707/8-385","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",189,"1_1706/1-142","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,940.5,"1_1704/3-517","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",880.3,"1_203/6-713","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-mutase",225.9,"1_1703/1-134","Bacteroides-plebeius-DSM-17135-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Bacteroides-rodentium-JCM-16496-MAF-2",NA,NA,NA,NA,NA,NA,611.1,"1_3756/9-385","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",197.5,"1_3755/1-143","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,939,"1_3753/3-517","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",880.9,"1_4135/7-711","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-mutase",235.5,"1_3752/26-170","Bacteroides-rodentium-JCM-16496-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Bacteroides-sp-3-1-19-MAF-2",NA,NA,NA,NA,NA,NA,610.1,"1_161/9-385","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",191.7,"1_162/1-142","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.2,"1_164/3-517","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",863.3,"1_2535/14-712","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-mutase",233.8,"1_165/1-135","Bacteroides-sp-3-1-19-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bacteroides-sp-9-1-42FAA-MAF-2",NA,NA,NA,NA,NA,NA,612.9,"1_2808/8-385","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",196.3,"1_2809/1-143","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,941.1,"1_2811/3-517","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",876.9,"1_338/10-696","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-mutase",229.7,"1_2812/1-137","Bacteroides-sp-9-1-42FAA-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Bacteroides-sp-D2-MAF-2",NA,NA,NA,NA,NA,NA,611.3,"1_4894/8-385","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",198,"1_4893/1-143","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,933.5,"1_4891/3-517","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",877.8,"1_5214/7-711","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-mutase",228.2,"1_4890/1-134","Bacteroides-sp-D2-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Bacteroides-stercoris-ATCC-43183-MAF-2",NA,NA,NA,NA,NA,NA,609.8,"1_2868/9-385","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseBeta",197.8,"1_2867/1-143","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseGamma",NA,NA,NA,938.7,"1_2865/3-517","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-decarboxylaseAlpha",882.5,"1_3379/7-711","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-mutase",230.9,"1_2864/1-137","Bacteroides-stercoris-ATCC-43183-MAF-2_methylmalonyl-CoA-epimerase","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
