"","strain","hit_score.rplB","hit_id.rplB","description.rplB"
"132","Bacillus_sonorensis",487.6,"NZ_LDIP01000010.1_35/1-277","Bacillus_sonorensis_rplB"
"133","Bacillus_subtilis",486,"NC_000964.3_122/1-277","Bacillus_subtilis_rplB"
"134","Bacillus_thermoamylovorans",485.6,"NZ_CP023704.1_127/1-275","Bacillus_thermoamylovorans_rplB"
"135","Bacillus_thuringiensis",485,"NZ_CM000753.1_105/1-275","Bacillus_thuringiensis_rplB"
"136","Bacillus_timonensis",482.4,"NZ_CABKRH010000007.1_35/1-275","Bacillus_timonensis_rplB"
"137","Bacillus_vallismortis",485.4,"NZ_CP033052.1_266/1-277","Bacillus_vallismortis_rplB"
"138","Bacteroides-caccae-ATCC-43185-MAF-2",432.3,"1_345/1-273","Bacteroides-caccae-ATCC-43185-MAF-2_rplB"
"139","Bacteroides-cellulosilyticus-DSM-14838-MAF-2",434.3,"1_1692/1-273","Bacteroides-cellulosilyticus-DSM-14838-MAF-2_rplB"
"140","Bacteroides-coprophilus-DSM-18228-MAF-2",439.3,"1_722/1-273","Bacteroides-coprophilus-DSM-18228-MAF-2_rplB"
"141","Bacteroides-dorei-5-1-36-D4-MAF-2",438.7,"1_1581/1-273","Bacteroides-dorei-5-1-36-D4-MAF-2_rplB"
"142","Bacteroides-dorei-DSM-17855-MAF-2",438.7,"1_802/1-273","Bacteroides-dorei-DSM-17855-MAF-2_rplB"
"143","Bacteroides-eggerthii-DSM-20697-MAF-2",432.1,"1_228/1-273","Bacteroides-eggerthii-DSM-20697-MAF-2_rplB"
"144","Bacteroides-finegoldii-DSM-17565-MAF-2",433.9,"1_1118/1-273","Bacteroides-finegoldii-DSM-17565-MAF-2_rplB"
"145","Bacteroides-fragilis-2-1-16-MAF-2",433.8,"1_327/1-273","Bacteroides-fragilis-2-1-16-MAF-2_rplB"
"146","Bacteroides-fragilis-3-1-12-MAF-2",432.6,"1_394/1-273","Bacteroides-fragilis-3-1-12-MAF-2_rplB"
"147","Bacteroides-intestinalis-DSM-17393-MAF-2",433.9,"1_1516/1-273","Bacteroides-intestinalis-DSM-17393-MAF-2_rplB"
"148","Bacteroides-ovatus-ATCC-8483-MAF-2",432.3,"1_554/1-273","Bacteroides-ovatus-ATCC-8483-MAF-2_rplB"
"149","Bacteroides-pectinophilus-ATCC-43243-MAF-2",464,"1_2463/1-277","Bacteroides-pectinophilus-ATCC-43243-MAF-2_rplB"
"150","Bacteroides-plebeius-DSM-17135-MAF-2",438.1,"1_1097/1-273","Bacteroides-plebeius-DSM-17135-MAF-2_rplB"
"151","Bacteroides-rodentium-JCM-16496-MAF-2",430.9,"1_1225/1-273","Bacteroides-rodentium-JCM-16496-MAF-2_rplB"
"152","Bacteroides-sp-3-1-19-MAF-2",438.9,"1_2616/1-273","Bacteroides-sp-3-1-19-MAF-2_rplB"
"153","Bacteroides-sp-9-1-42FAA-MAF-2",438.7,"1_937/1-273","Bacteroides-sp-9-1-42FAA-MAF-2_rplB"
"154","Bacteroides-sp-D2-MAF-2",432.3,"1_1603/1-273","Bacteroides-sp-D2-MAF-2_rplB"
"155","Bacteroides-stercoris-ATCC-43183-MAF-2",431.1,"1_367/1-273","Bacteroides-stercoris-ATCC-43183-MAF-2_rplB"
"156","Bacteroides-thetaiotaomicron-1-1-6-MAF-2",431.5,"1_424/1-273","Bacteroides-thetaiotaomicron-1-1-6-MAF-2_rplB"
"157","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2",431.5,"1_583/1-273","Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_rplB"
"158","Bacteroides-uniformis-ATCC-8492-MAF-2",430.9,"1_1263/1-273","Bacteroides-uniformis-ATCC-8492-MAF-2_rplB"
"159","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2",431.8,"1_564/1-273","Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_rplB"
"160","Bacteroides_acidifaciens",435.4,"NZ_CAJTFZ010000054.1_28/1-273","Bacteroides_acidifaciens_rplB"
"161","Bacteroides_barnesiae",436.7,"NZ_KB894657.1_30/1-273","Bacteroides_barnesiae_rplB"
"162","Bacteroides_clarus",432,"NZ_JADNLF010000001.1_476/1-273","Bacteroides_clarus_rplB"
"163","Bacteroides_coagulans",468.3,"NZ_QEKV01000001.1_169/1-275","Bacteroides_coagulans_rplB"
"164","Bacteroides_coprocola",436.7,"NZ_DS981460.1_103/1-273","Bacteroides_coprocola_rplB"
"165","Bacteroides_faecichinchillae",433.6,"NZ_FQVD01000026.1_30/1-273","Bacteroides_faecichinchillae_rplB"
"166","Bacteroides_faecis",431.5,"NZ_CP081916.1_423/1-273","Bacteroides_faecis_rplB"
"167","Bacteroides_fluxus",432.1,"NZ_GL882630.1_64/1-273","Bacteroides_fluxus_rplB"
"168","Bacteroides_fragilis",433.8,"NZ_CP069563.1_3124/1-273","Bacteroides_fragilis_rplB"
"169","Bacteroides_gallinarum",432.9,"NZ_KB894134.1_48/1-273","Bacteroides_gallinarum_rplB"
"170","Bacteroides_graminisolvens",431,"NZ_ATZI01000013.1_62/1-273","Bacteroides_graminisolvens_rplB"
"171","Bacteroides_massiliensis",437.7,"NZ_JADMUT010000010.1_65/1-273","Bacteroides_massiliensis_rplB"
"172","Bacteroides_nordii",432,"NZ_CP082886.1_3186/1-273","Bacteroides_nordii_rplB"
"173","Bacteroides_oleiciplenus",434.2,"NZ_CABKRN010000007.1_220/1-273","Bacteroides_oleiciplenus_rplB"
"174","Bacteroides_pyogenes",434.6,"NZ_VKLY01000003.1_90/1-273","Bacteroides_pyogenes_rplB"
"175","Bacteroides_salanitronis",438.5,"NC_015164.1_2047/1-273","Bacteroides_salanitronis_rplB"
"176","Bacteroides_salyersiae",432,"NZ_CYXS01000013.1_43/1-273","Bacteroides_salyersiae_rplB"
"177","Bacteroides_sartorii",438.7,"NZ_JABVZU010000003.1_3221/1-273","Bacteroides_sartorii_rplB"
"178","Bacteroides_stercorirosoris",434.2,"NZ_FQZN01000043.1_29/1-273","Bacteroides_stercorirosoris_rplB"
"179","Bacteroides_thetaiotaomicron",431.5,"NZ_CP040530.1_580/1-273","Bacteroides_thetaiotaomicron_rplB"
"180","Bacteroides_timonensis",431.9,"NZ_CBVI010000016.1_29/1-273","Bacteroides_timonensis_rplB"
"181","Bacteroides_ureolyticus",440.1,"NZ_KB894735.1_39/1-275","Bacteroides_ureolyticus_rplB"
"182","Bacteroides_vulgatus",438.3,"NZ_AP025240.1_905/1-273","Bacteroides_vulgatus_rplB"
"183","Barnesiella_intestinihominis",441.8,"NZ_JH815206.1_30/1-273","Barnesiella_intestinihominis_rplB"
"184","Bavariicoccus_seileri",457.5,"NZ_ATXL01000016.1_43/1-275","Bavariicoccus_seileri_rplB"
"185","Bifidobacterium-adolescentis-L2-32-MAF-2",428.8,"1_329/1-274","Bifidobacterium-adolescentis-L2-32-MAF-2_rplB"
"186","Bifidobacterium_adolescentis",428.8,"NZ_CP028341.1_338/1-274","Bifidobacterium_adolescentis_rplB"
"187","Bifidobacterium_angulatum",430,"NZ_AP012322.1_1338/1-274","Bifidobacterium_angulatum_rplB"
"188","Bifidobacterium_animalis",429.8,"NC_017216.2_366/1-274","Bifidobacterium_animalis_rplB"
"189","Bifidobacterium_bifidum",430.8,"NZ_AKCA01000001.1_1384/1-274","Bifidobacterium_bifidum_rplB"
"190","Bifidobacterium_boum",427.3,"NZ_JGYQ01000016.1_307/1-274","Bifidobacterium_boum_rplB"
"191","Bifidobacterium_breve",425.8,"NZ_CP010413.1_128/1-273","Bifidobacterium_breve_rplB"
"192","Bifidobacterium_catenulatum",429.7,"NZ_AP012325.1_307/1-274","Bifidobacterium_catenulatum_rplB"
"193","Bifidobacterium_coryneforme",426.9,"NZ_CP007287.1_1127/1-274","Bifidobacterium_coryneforme_rplB"
"194","Bifidobacterium_dentium",428.4,"NZ_ABIX02000002.1_290/1-274","Bifidobacterium_dentium_rplB"
"195","Bifidobacterium_gallicum",426.9,"NZ_JGYW01000002.1_231/1-274","Bifidobacterium_gallicum_rplB"
"196","Bifidobacterium_longum",427.6,"NC_015067.1_1697/1-273","Bifidobacterium_longum_rplB"
"197","Bifidobacterium_mongoliense",423.5,"NZ_QRAJ01000003.1_164/1-274","Bifidobacterium_mongoliense_rplB"
"198","Bifidobacterium_pseudocatenulatum",428.7,"NZ_CP079233.1_340/1-274","Bifidobacterium_pseudocatenulatum_rplB"
"199","Bifidobacterium_pseudolongum",427.6,"NZ_CP022544.1_369/1-274","Bifidobacterium_pseudolongum_rplB"
"200","Bifidobacterium_ruminantium",428.8,"NZ_JAHPZN010000002.1_229/1-274","Bifidobacterium_ruminantium_rplB"
"201","Bifidobacterium_scardovii",429.1,"NZ_AP012331.1_501/1-274","Bifidobacterium_scardovii_rplB"
"202","Bifidobacterium_stercoris",428.8,"NZ_CP028341.1_338/1-274","Bifidobacterium_stercoris_rplB"
"203","Bifidobacterium_thermacidophilum",426.2,"NZ_AUFI01000006.1_149/1-274","Bifidobacterium_thermacidophilum_rplB"
"204","Bifidobacterium_thermophilum",426.2,"NZ_PCGX01000010.1_312/1-274","Bifidobacterium_thermophilum_rplB"
"205","Bilophila_wadsworthia",469.8,"NZ_KE150238.1_1160/1-275","Bilophila_wadsworthia_rplB"
"206","Blastococcus_massiliensis",443.9,"NZ_CABKTE010000002.1_524/1-276","Blastococcus_massiliensis_rplB"
"207","Blastomonas_natatoria",434.1,"NZ_QJJM01000002.1_216/1-277","Blastomonas_natatoria_rplB"
"208","Blautia-hansenii-DSM-20583-MAF-2",464.3,"1_2479/1-278","Blautia-hansenii-DSM-20583-MAF-2_rplB"
"209","Blautia-hydrogenotrophica-DSM-10507-MAF-2",466.8,"1_2427/1-277","Blautia-hydrogenotrophica-DSM-10507-MAF-2_rplB"
"210","Blautia-obeum-ATCC-29174-MAF-2",466.1,"1_2493/1-278","Blautia-obeum-ATCC-29174-MAF-2_rplB"
"211","Blautia-sp-KLE-1732-MAF-2",464.7,"1_2745/1-278","Blautia-sp-KLE-1732-MAF-2_rplB"
"212","Blautia-wexlerae-DSM-19850-MAF-2",461.5,"1_2951/1-278","Blautia-wexlerae-DSM-19850-MAF-2_rplB"
"213","Blautia_coccoides",465.2,"NZ_UFVT01000001.1_4046/1-278","Blautia_coccoides_rplB"
"214","Blautia_faecis",466,"NZ_JAJCIA010000023.1_42/1-278","Blautia_faecis_rplB"
"215","Blautia_glucerasea",462,"NZ_JAAITU010000006.1_60/1-278","Blautia_glucerasea_rplB"
"216","Blautia_luti",460.9,"NZ_JADPGV010000001.1_310/1-278","Blautia_luti_rplB"
"217","Blautia_massiliensis",464.7,"NZ_JAAIUS010000004.1_183/1-278","Blautia_massiliensis_rplB"
"218","Blautia_producta",465.2,"NZ_CP035945.1_1917/1-278","Blautia_producta_rplB"
"219","Blautia_stercoris",468.4,"NZ_JACRTP010000003.1_199/1-278","Blautia_stercoris_rplB"
"220","Bordetella_hinzii",461.4,"NZ_CP021395.1_1486/1-274","Bordetella_hinzii_rplB"
"221","Brachybacterium_ginsengisoli",449.9,"NZ_CP023564.1_908/1-276","Brachybacterium_ginsengisoli_rplB"
"222","Brachybacterium_paraconglomeratum",448.9,"NZ_ML133854.1_85/1-276","Brachybacterium_paraconglomeratum_rplB"
"223","Brachymonas_chironomi",436,"NZ_KB894789.1_10/1-274","Brachymonas_chironomi_rplB"
"224","Brachyspira_aalborgi",420,"NZ_SAYK01000008.1_402/1-277","Brachyspira_aalborgi_rplB"
"225","Brachyspira_pilosicoli",426,"NC_014330.1_992/1-277","Brachyspira_pilosicoli_rplB"
"226","Bradyrhizobium_denitrificans",453.2,"NZ_JAFCLK010000002.1_232/1-276","Bradyrhizobium_denitrificans_rplB"
"227","Bradyrhizobium_elkanii",450.1,"NZ_AP013103.1_4577/1-276","Bradyrhizobium_elkanii_rplB"
"228","Bradyrhizobium_icense",453.1,"NZ_CP016428.1_3475/1-276","Bradyrhizobium_icense_rplB"
"229","Bradyrhizobium_japonicum",446.9,"NZ_CP058354.1_5174/1-276","Bradyrhizobium_japonicum_rplB"
"230","Bradyrhizobium_neotropicale",447.4,"NZ_LSEF01000121.1_41/1-276","Bradyrhizobium_neotropicale_rplB"
"231","Brevibacillus_agri",481.2,"NZ_CP026363.1_282/1-275","Brevibacillus_agri_rplB"
"232","Brevibacillus_borstelensis",481.3,"NZ_APBN01000017.1_38/1-275","Brevibacillus_borstelensis_rplB"
"233","Brevibacillus_brevis",481.3,"NZ_LR134338.1_265/1-275","Brevibacillus_brevis_rplB"
"234","Brevibacillus_massiliensis",481.6,"NZ_HE978551.1_39/1-275","Brevibacillus_massiliensis_rplB"
