,strain,gene,hit_score,hit_id,description
40,Aeromonas_media,rplB,474.6,NZ_CP075564.1_203/1-272,Aeromonas_media_rplB
41,Aeromonas_punctata,rplB,475.0,NZ_AP022254.1_3787/1-272,Aeromonas_punctata_rplB
42,Aeromonas_tecta,rplB,474.1,NZ_CDCA01000034.1_146/1-272,Aeromonas_tecta_rplB
43,Aeromonas_trota,rplB,474.6,NZ_CP084358.1_989/1-272,Aeromonas_trota_rplB
44,Aeromonas_veronii,rplB,475.3,NZ_CP044060.1_2645/1-272,Aeromonas_veronii_rplB
45,Afipia_birgiae,rplB,452.1,NZ_HG326652.1_569/1-277,Afipia_birgiae_rplB
46,Aggregatibacter_actinomycetemcomitans,rplB,470.2,NZ_JABKAH010000015.1_34/1-271,Aggregatibacter_actinomycetemcomitans_rplB
47,Aggregatibacter_segnis,rplB,469.7,NZ_LS483443.1_589/1-271,Aggregatibacter_segnis_rplB
48,Agrobacterium_tumefaciens,rplB,451.0,NZ_CP033031.1_1571/1-277,Agrobacterium_tumefaciens_rplB
49,Agrococcus_jejuensis,rplB,459.6,NZ_LT629695.1_999/1-278,Agrococcus_jejuensis_rplB
50,Agrococcus_terreus,rplB,459.8,NZ_BMLM01000001.1_506/1-277,Agrococcus_terreus_rplB
51,Akkermansia_muciniphila,rplB,421.8,NZ_AP021898.1_360/1-277,Akkermansia_muciniphila_rplB
52,Alcaligenes_faecalis,rplB,465.9,NZ_CP013119.1_2184/1-274,Alcaligenes_faecalis_rplB
53,Aliagarivorans_marinus,rplB,483.9,NZ_AUBY01000023.1_29/1-273,Aliagarivorans_marinus_rplB
54,Alistipes-ihumii-AP11-MAF-2,rplB,439.4,1_1197/1-273,Alistipes-ihumii-AP11-MAF-2_rplB
55,Alistipes-indistinctus-YIT-12060-MAF-2,rplB,417.1,1_1742/1-265,Alistipes-indistinctus-YIT-12060-MAF-2_rplB
56,Alistipes-onderdonkii-DSM-19147-MAF-2,rplB,434.9,1_1040/1-273,Alistipes-onderdonkii-DSM-19147-MAF-2_rplB
57,Alistipes-putredinis-DSM-17216-MAF-2,rplB,432.1,1_2049/1-273,Alistipes-putredinis-DSM-17216-MAF-2_rplB
58,Alistipes-senegalensis-JC50-MAF-2,rplB,434.4,1_1105/1-273,Alistipes-senegalensis-JC50-MAF-2_rplB
59,Alistipes-shahii-WAL-8301-MAF-2,rplB,434.2,1_1326/1-273,Alistipes-shahii-WAL-8301-MAF-2_rplB
60,Alistipes_finegoldii,rplB,434.8,NZ_JADMWR010000006.1_109/1-273,Alistipes_finegoldii_rplB
61,Alistipes_obesi,rplB,429.2,NZ_AP019735.1_1023/1-273,Alistipes_obesi_rplB
62,Alistipes_timonensis,rplB,432.6,NZ_FNRI01000004.1_176/1-273,Alistipes_timonensis_rplB
63,Allisonella_histaminiformans,rplB,474.0,NZ_FMXA01000004.1_78/1-275,Allisonella_histaminiformans_rplB
64,Alloprevotella_tannerae,rplB,430.7,NZ_GG700642.1_1077/1-273,Alloprevotella_tannerae_rplB
65,Alloscardovia_omnicolens,rplB,429.0,NZ_PKGT01000004.1_126/1-274,Alloscardovia_omnicolens_rplB
66,Anaerobiospirillum_succiniciproducens,rplB,436.4,NZ_AXWV01000087.1_19/1-271,Anaerobiospirillum_succiniciproducens_rplB
67,Anaerobiospirillum_thomasii,rplB,439.7,NZ_UAPU01000007.1_882/1-271,Anaerobiospirillum_thomasii_rplB
68,Anaerobutyricum_hallii,rplB,470.6,NZ_QSID01000001.1_149/1-278,Anaerobutyricum_hallii_rplB
69,Anaerococcus_hydrogenalis,rplB,457.5,NZ_PNHP01000003.1_135/1-277,Anaerococcus_hydrogenalis_rplB
70,Anaerococcus_murdochii,rplB,450.0,NZ_JAIPME010000002.1_382/1-277,Anaerococcus_murdochii_rplB
71,Anaerococcus_obesiensis,rplB,456.9,NZ_CP067016.1_925/1-277,Anaerococcus_obesiensis_rplB
72,Anaerococcus_octavius,rplB,451.9,NZ_UFTA01000002.1_1328/3-275,Anaerococcus_octavius_rplB
73,Anaerococcus_prevotii,rplB,454.7,NZ_UFSY01000001.1_1669/1-277,Anaerococcus_prevotii_rplB
74,Anaerococcus_senegalensis,rplB,457.9,NZ_HE578908.1_77/1-277,Anaerococcus_senegalensis_rplB
75,Anaerococcus_vaginalis,rplB,456.9,NZ_CP066014.1_309/1-277,Anaerococcus_vaginalis_rplB
76,Anaerofustis_stercorihominis,rplB,478.0,NZ_DS560019.1_967/1-275,Anaerofustis_stercorihominis_rplB
77,Anaerorhabdus_furcosa,rplB,467.4,NZ_FUWY01000010.1_31/1-276,Anaerorhabdus_furcosa_rplB
78,Anaerostipes-caccae-DSM-14662-MAF-2,rplB,465.5,1_3101/1-278,Anaerostipes-caccae-DSM-14662-MAF-2_rplB
79,Anaerostipes_butyraticus,rplB,470.1,NZ_BLYI01000046.1_23/1-278,Anaerostipes_butyraticus_rplB
80,Anaerostipes_coli,rplB,465.9,NC_021016.1_590/1-279,Anaerostipes_coli_rplB
81,Anaerostipes_hadrus,rplB,465.9,NC_021016.1_590/1-279,Anaerostipes_hadrus_rplB
82,Anaerotruncus-colihominis-DSM-17241-MAF-2,rplB,457.7,1_3366/1-276,Anaerotruncus-colihominis-DSM-17241-MAF-2_rplB
83,Ancylobacter_polymorphus,rplB,448.5,NZ_CP083239.1_3471/1-276,Ancylobacter_polymorphus_rplB
84,Aneurinibacillus_aneurinilyticus,rplB,483.9,NZ_JABAGO010000032.1_39/1-277,Aneurinibacillus_aneurinilyticus_rplB
85,Aneurinibacillus_migulanus,rplB,483.5,NZ_LGUG01000009.1_39/1-277,Aneurinibacillus_migulanus_rplB
86,Aquabacterium_commune,rplB,457.3,NZ_SNXW01000007.1_235/1-273,Aquabacterium_commune_rplB
87,Aquabacterium_parvum,rplB,456.9,NZ_LFRI01000245.1_53/1-273,Aquabacterium_parvum_rplB
88,Aquincola_tertiaricarbonis,rplB,459.5,NZ_JZUE01000001.1_5/1-273,Aquincola_tertiaricarbonis_rplB
89,Arcanobacterium_haemolyticum,rplB,464.0,NZ_LS483427.1_638/1-276,Arcanobacterium_haemolyticum_rplB
90,Arcanobacterium_pyogenes,rplB,461.4,NZ_CP007519.1_928/1-277,Arcanobacterium_pyogenes_rplB
91,Arcobacter_butzleri,rplB,432.7,NC_017187.1_705/1-274,Arcobacter_butzleri_rplB
92,Arcobacter_cryaerophilus,rplB,428.5,NZ_CP032823.1_609/1-274,Arcobacter_cryaerophilus_rplB
93,Arthrobacter_albus,rplB,460.3,NZ_PKGR01000013.1_37/1-277,Arthrobacter_albus_rplB
94,Arthrobacter_castelli,rplB,434.4,NZ_AUMN01000017.1_43/1-277,Arthrobacter_castelli_rplB
95,Arthrobacter_globiformis,rplB,452.8,NZ_BAEG01000078.1_45/1-277,Arthrobacter_globiformis_rplB
96,Arthrobacter_oxydans,rplB,446.1,NZ_JABTYH010000007.1_73/1-277,Arthrobacter_oxydans_rplB
97,Arthrobacter_polychromogenes,rplB,446.1,NZ_BMKU01000003.1_220/1-277,Arthrobacter_polychromogenes_rplB
98,Atopobium_minutum,rplB,464.0,NZ_KB822533.1_390/1-276,Atopobium_minutum_rplB
99,Atopobium_parvulum,rplB,453.4,NC_013203.1_1153/1-278,Atopobium_parvulum_rplB
100,Atopobium_rimae,rplB,456.2,NZ_ACFE01000001.1_457/1-278,Atopobium_rimae_rplB
101,Aurantimonas_altamirensis,rplB,444.6,NZ_FQZC01000001.1_560/1-277,Aurantimonas_altamirensis_rplB
102,Aureimonas_ureilytica,rplB,445.6,NZ_BBWT01000072.1_31/1-277,Aureimonas_ureilytica_rplB
103,Bacillus_altitudinis,rplB,487.0,NZ_CP009108.1_1101/1-277,Bacillus_altitudinis_rplB
104,Bacillus_amyloliquefaciens,rplB,484.1,NC_020272.1_3674/1-277,Bacillus_amyloliquefaciens_rplB
105,Bacillus_arsenicus,rplB,481.5,NZ_MQMF01000006.1_35/1-275,Bacillus_arsenicus_rplB
106,Bacillus_atrophaeus,rplB,484.6,NZ_CP007640.1_3654/1-277,Bacillus_atrophaeus_rplB
107,Bacillus_badius,rplB,487.4,NZ_CP082363.1_117/1-275,Bacillus_badius_rplB
108,Bacillus_beijingensis,rplB,480.2,NZ_FNAR01000001.1_181/1-275,Bacillus_beijingensis_rplB
109,Bacillus_benzoevorans,rplB,485.5,NZ_JACHGK010000023.1_34/1-275,Bacillus_benzoevorans_rplB
110,Bacillus_cereus,rplB,485.0,NZ_CP017060.1_111/1-275,Bacillus_cereus_rplB
111,Bacillus_clausii,rplB,489.8,NZ_NPBN01000080.1_35/1-275,Bacillus_clausii_rplB
112,Bacillus_endophyticus,rplB,487.3,NZ_LWAG01000008.1_34/1-275,Bacillus_endophyticus_rplB
113,Bacillus_firmus,rplB,489.4,NZ_UFTC01000001.1_129/1-275,Bacillus_firmus_rplB
114,Bacillus_flexus,rplB,488.1,NZ_CP060274.1_4120/1-275,Bacillus_flexus_rplB
115,Bacillus_fordii,rplB,473.4,NZ_KB894708.1_38/1-276,Bacillus_fordii_rplB
116,Bacillus_halodurans,rplB,488.6,NC_002570.2_138/1-275,Bacillus_halodurans_rplB
117,Bacillus_idriensis,rplB,490.9,NZ_CAJFZX010000018.1_43/1-275,Bacillus_idriensis_rplB
118,Bacillus_infantis,rplB,486.2,NC_022524.1_123/1-275,Bacillus_infantis_rplB
119,Bacillus_licheniformis,rplB,488.0,NZ_CP014842.1_4141/1-277,Bacillus_licheniformis_rplB
120,Bacillus_marisflavi,rplB,482.6,NZ_LGUE01000009.1_39/1-275,Bacillus_marisflavi_rplB
121,Bacillus_marseilloanorexicus,rplB,488.6,NZ_CABKRX010000030.1_36/1-275,Bacillus_marseilloanorexicus_rplB
122,Bacillus_massiliosenegalensis,rplB,488.9,NZ_HE978521.1_35/1-275,Bacillus_massiliosenegalensis_rplB
123,Bacillus_mojavensis,rplB,485.9,NZ_CP051464.1_123/1-277,Bacillus_mojavensis_rplB
124,Bacillus_mycoides,rplB,484.7,NZ_CP035997.1_2623/1-275,Bacillus_mycoides_rplB
125,Bacillus_nealsonii,rplB,483.8,NZ_PISE01000012.1_36/1-275,Bacillus_nealsonii_rplB
126,Bacillus_niacini,rplB,487.9,NZ_BCVA01000029.1_35/1-275,Bacillus_niacini_rplB
127,Bacillus_pumilus,rplB,486.2,NZ_PTXV01000006.1_44/1-277,Bacillus_pumilus_rplB
128,Bacillus_schlegelii,rplB,480.0,NZ_JXBB01000016.1_38/1-275,Bacillus_schlegelii_rplB
129,Bacillus_simplex,rplB,486.4,NZ_CP017704.1_2317/1-275,Bacillus_simplex_rplB
130,Bacillus_siralis,rplB,489.6,NZ_SWLZ01000019.1_61/1-275,Bacillus_siralis_rplB
131,Bacillus_sonorensis,rplB,487.6,NZ_LDIP01000010.1_35/1-277,Bacillus_sonorensis_rplB
132,Bacillus_subtilis,rplB,486.0,NC_000964.3_122/1-277,Bacillus_subtilis_rplB
133,Bacillus_thermoamylovorans,rplB,485.6,NZ_CP023704.1_127/1-275,Bacillus_thermoamylovorans_rplB
134,Bacillus_thuringiensis,rplB,485.0,NZ_CM000753.1_105/1-275,Bacillus_thuringiensis_rplB
135,Bacillus_timonensis,rplB,482.4,NZ_CABKRH010000007.1_35/1-275,Bacillus_timonensis_rplB
136,Bacillus_vallismortis,rplB,485.4,NZ_CP033052.1_266/1-277,Bacillus_vallismortis_rplB
137,Bacteroides-caccae-ATCC-43185-MAF-2,rplB,432.3,1_345/1-273,Bacteroides-caccae-ATCC-43185-MAF-2_rplB
138,Bacteroides-cellulosilyticus-DSM-14838-MAF-2,rplB,434.3,1_1692/1-273,Bacteroides-cellulosilyticus-DSM-14838-MAF-2_rplB
139,Bacteroides-coprophilus-DSM-18228-MAF-2,rplB,439.3,1_722/1-273,Bacteroides-coprophilus-DSM-18228-MAF-2_rplB
140,Bacteroides-dorei-5-1-36-D4-MAF-2,rplB,438.7,1_1581/1-273,Bacteroides-dorei-5-1-36-D4-MAF-2_rplB
141,Bacteroides-dorei-DSM-17855-MAF-2,rplB,438.7,1_802/1-273,Bacteroides-dorei-DSM-17855-MAF-2_rplB
142,Bacteroides-eggerthii-DSM-20697-MAF-2,rplB,432.1,1_228/1-273,Bacteroides-eggerthii-DSM-20697-MAF-2_rplB
143,Bacteroides-finegoldii-DSM-17565-MAF-2,rplB,433.9,1_1118/1-273,Bacteroides-finegoldii-DSM-17565-MAF-2_rplB
144,Bacteroides-fragilis-2-1-16-MAF-2,rplB,433.8,1_327/1-273,Bacteroides-fragilis-2-1-16-MAF-2_rplB
145,Bacteroides-fragilis-3-1-12-MAF-2,rplB,432.6,1_394/1-273,Bacteroides-fragilis-3-1-12-MAF-2_rplB
146,Bacteroides-intestinalis-DSM-17393-MAF-2,rplB,433.9,1_1516/1-273,Bacteroides-intestinalis-DSM-17393-MAF-2_rplB
147,Bacteroides-ovatus-ATCC-8483-MAF-2,rplB,432.3,1_554/1-273,Bacteroides-ovatus-ATCC-8483-MAF-2_rplB
148,Bacteroides-pectinophilus-ATCC-43243-MAF-2,rplB,464.0,1_2463/1-277,Bacteroides-pectinophilus-ATCC-43243-MAF-2_rplB
149,Bacteroides-plebeius-DSM-17135-MAF-2,rplB,438.1,1_1097/1-273,Bacteroides-plebeius-DSM-17135-MAF-2_rplB
150,Bacteroides-rodentium-JCM-16496-MAF-2,rplB,430.9,1_1225/1-273,Bacteroides-rodentium-JCM-16496-MAF-2_rplB
151,Bacteroides-sp-3-1-19-MAF-2,rplB,438.9,1_2616/1-273,Bacteroides-sp-3-1-19-MAF-2_rplB
152,Bacteroides-sp-9-1-42FAA-MAF-2,rplB,438.7,1_937/1-273,Bacteroides-sp-9-1-42FAA-MAF-2_rplB
153,Bacteroides-sp-D2-MAF-2,rplB,432.3,1_1603/1-273,Bacteroides-sp-D2-MAF-2_rplB
154,Bacteroides-stercoris-ATCC-43183-MAF-2,rplB,431.1,1_367/1-273,Bacteroides-stercoris-ATCC-43183-MAF-2_rplB
155,Bacteroides-thetaiotaomicron-1-1-6-MAF-2,rplB,431.5,1_424/1-273,Bacteroides-thetaiotaomicron-1-1-6-MAF-2_rplB
156,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2,rplB,431.5,1_583/1-273,Bacteroides-thetaiotaomicron-VPI-5482-MAF-2_rplB
157,Bacteroides-uniformis-ATCC-8492-MAF-2,rplB,430.9,1_1263/1-273,Bacteroides-uniformis-ATCC-8492-MAF-2_rplB
158,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2,rplB,431.8,1_564/1-273,Bacteroides-xylanisolvens-SD-CC-1b-MAF-2_rplB
159,Bacteroides_acidifaciens,rplB,435.4,NZ_CAJTFZ010000054.1_28/1-273,Bacteroides_acidifaciens_rplB
160,Bacteroides_barnesiae,rplB,436.7,NZ_KB894657.1_30/1-273,Bacteroides_barnesiae_rplB
161,Bacteroides_clarus,rplB,432.0,NZ_JADNLF010000001.1_476/1-273,Bacteroides_clarus_rplB
162,Bacteroides_coagulans,rplB,468.3,NZ_QEKV01000001.1_169/1-275,Bacteroides_coagulans_rplB
163,Bacteroides_coprocola,rplB,436.7,NZ_DS981460.1_103/1-273,Bacteroides_coprocola_rplB
164,Bacteroides_faecichinchillae,rplB,433.6,NZ_FQVD01000026.1_30/1-273,Bacteroides_faecichinchillae_rplB
165,Bacteroides_faecis,rplB,431.5,NZ_CP081916.1_423/1-273,Bacteroides_faecis_rplB
166,Bacteroides_fluxus,rplB,432.1,NZ_GL882630.1_64/1-273,Bacteroides_fluxus_rplB
167,Bacteroides_fragilis,rplB,433.8,NZ_CP069563.1_3124/1-273,Bacteroides_fragilis_rplB
168,Bacteroides_gallinarum,rplB,432.9,NZ_KB894134.1_48/1-273,Bacteroides_gallinarum_rplB
169,Bacteroides_graminisolvens,rplB,431.0,NZ_ATZI01000013.1_62/1-273,Bacteroides_graminisolvens_rplB
170,Bacteroides_massiliensis,rplB,437.7,NZ_JADMUT010000010.1_65/1-273,Bacteroides_massiliensis_rplB
171,Bacteroides_nordii,rplB,432.0,NZ_CP082886.1_3186/1-273,Bacteroides_nordii_rplB
172,Bacteroides_oleiciplenus,rplB,434.2,NZ_CABKRN010000007.1_220/1-273,Bacteroides_oleiciplenus_rplB
173,Bacteroides_pyogenes,rplB,434.6,NZ_VKLY01000003.1_90/1-273,Bacteroides_pyogenes_rplB
174,Bacteroides_salanitronis,rplB,438.5,NC_015164.1_2047/1-273,Bacteroides_salanitronis_rplB
175,Bacteroides_salyersiae,rplB,432.0,NZ_CYXS01000013.1_43/1-273,Bacteroides_salyersiae_rplB
176,Bacteroides_sartorii,rplB,438.7,NZ_JABVZU010000003.1_3221/1-273,Bacteroides_sartorii_rplB
177,Bacteroides_stercorirosoris,rplB,434.2,NZ_FQZN01000043.1_29/1-273,Bacteroides_stercorirosoris_rplB
178,Bacteroides_thetaiotaomicron,rplB,431.5,NZ_CP040530.1_580/1-273,Bacteroides_thetaiotaomicron_rplB
179,Bacteroides_timonensis,rplB,431.9,NZ_CBVI010000016.1_29/1-273,Bacteroides_timonensis_rplB
180,Bacteroides_ureolyticus,rplB,440.1,NZ_KB894735.1_39/1-275,Bacteroides_ureolyticus_rplB
181,Bacteroides_vulgatus,rplB,438.3,NZ_AP025240.1_905/1-273,Bacteroides_vulgatus_rplB
182,Barnesiella_intestinihominis,rplB,441.8,NZ_JH815206.1_30/1-273,Barnesiella_intestinihominis_rplB
183,Bavariicoccus_seileri,rplB,457.5,NZ_ATXL01000016.1_43/1-275,Bavariicoccus_seileri_rplB
184,Bifidobacterium-adolescentis-L2-32-MAF-2,rplB,428.8,1_329/1-274,Bifidobacterium-adolescentis-L2-32-MAF-2_rplB
185,Bifidobacterium_adolescentis,rplB,428.8,NZ_CP028341.1_338/1-274,Bifidobacterium_adolescentis_rplB
186,Bifidobacterium_angulatum,rplB,430.0,NZ_AP012322.1_1338/1-274,Bifidobacterium_angulatum_rplB
187,Bifidobacterium_animalis,rplB,429.8,NC_017216.2_366/1-274,Bifidobacterium_animalis_rplB
188,Bifidobacterium_bifidum,rplB,430.8,NZ_AKCA01000001.1_1384/1-274,Bifidobacterium_bifidum_rplB
189,Bifidobacterium_boum,rplB,427.3,NZ_JGYQ01000016.1_307/1-274,Bifidobacterium_boum_rplB
190,Bifidobacterium_breve,rplB,425.8,NZ_CP010413.1_128/1-273,Bifidobacterium_breve_rplB
191,Bifidobacterium_catenulatum,rplB,429.7,NZ_AP012325.1_307/1-274,Bifidobacterium_catenulatum_rplB
192,Bifidobacterium_coryneforme,rplB,426.9,NZ_CP007287.1_1127/1-274,Bifidobacterium_coryneforme_rplB
193,Bifidobacterium_dentium,rplB,428.4,NZ_ABIX02000002.1_290/1-274,Bifidobacterium_dentium_rplB
194,Bifidobacterium_gallicum,rplB,426.9,NZ_JGYW01000002.1_231/1-274,Bifidobacterium_gallicum_rplB
195,Bifidobacterium_longum,rplB,427.6,NC_015067.1_1697/1-273,Bifidobacterium_longum_rplB
196,Bifidobacterium_mongoliense,rplB,423.5,NZ_QRAJ01000003.1_164/1-274,Bifidobacterium_mongoliense_rplB
197,Bifidobacterium_pseudocatenulatum,rplB,428.7,NZ_CP079233.1_340/1-274,Bifidobacterium_pseudocatenulatum_rplB
198,Bifidobacterium_pseudolongum,rplB,427.6,NZ_CP022544.1_369/1-274,Bifidobacterium_pseudolongum_rplB
199,Bifidobacterium_ruminantium,rplB,428.8,NZ_JAHPZN010000002.1_229/1-274,Bifidobacterium_ruminantium_rplB
200,Bifidobacterium_scardovii,rplB,429.1,NZ_AP012331.1_501/1-274,Bifidobacterium_scardovii_rplB
201,Bifidobacterium_stercoris,rplB,428.8,NZ_CP028341.1_338/1-274,Bifidobacterium_stercoris_rplB
202,Bifidobacterium_thermacidophilum,rplB,426.2,NZ_AUFI01000006.1_149/1-274,Bifidobacterium_thermacidophilum_rplB
203,Bifidobacterium_thermophilum,rplB,426.2,NZ_PCGX01000010.1_312/1-274,Bifidobacterium_thermophilum_rplB
204,Bilophila_wadsworthia,rplB,469.8,NZ_KE150238.1_1160/1-275,Bilophila_wadsworthia_rplB
205,Blastococcus_massiliensis,rplB,443.9,NZ_CABKTE010000002.1_524/1-276,Blastococcus_massiliensis_rplB
206,Blastomonas_natatoria,rplB,434.1,NZ_QJJM01000002.1_216/1-277,Blastomonas_natatoria_rplB
207,Blautia-hansenii-DSM-20583-MAF-2,rplB,464.3,1_2479/1-278,Blautia-hansenii-DSM-20583-MAF-2_rplB
208,Blautia-hydrogenotrophica-DSM-10507-MAF-2,rplB,466.8,1_2427/1-277,Blautia-hydrogenotrophica-DSM-10507-MAF-2_rplB
209,Blautia-obeum-ATCC-29174-MAF-2,rplB,466.1,1_2493/1-278,Blautia-obeum-ATCC-29174-MAF-2_rplB
210,Blautia-sp-KLE-1732-MAF-2,rplB,464.7,1_2745/1-278,Blautia-sp-KLE-1732-MAF-2_rplB
211,Blautia-wexlerae-DSM-19850-MAF-2,rplB,461.5,1_2951/1-278,Blautia-wexlerae-DSM-19850-MAF-2_rplB
212,Blautia_coccoides,rplB,465.2,NZ_UFVT01000001.1_4046/1-278,Blautia_coccoides_rplB
213,Blautia_faecis,rplB,466.0,NZ_JAJCIA010000023.1_42/1-278,Blautia_faecis_rplB
214,Blautia_glucerasea,rplB,462.0,NZ_JAAITU010000006.1_60/1-278,Blautia_glucerasea_rplB
215,Blautia_luti,rplB,460.9,NZ_JADPGV010000001.1_310/1-278,Blautia_luti_rplB
216,Blautia_massiliensis,rplB,464.7,NZ_JAAIUS010000004.1_183/1-278,Blautia_massiliensis_rplB
217,Blautia_producta,rplB,465.2,NZ_CP035945.1_1917/1-278,Blautia_producta_rplB
218,Blautia_stercoris,rplB,468.4,NZ_JACRTP010000003.1_199/1-278,Blautia_stercoris_rplB
219,Bordetella_hinzii,rplB,461.4,NZ_CP021395.1_1486/1-274,Bordetella_hinzii_rplB
220,Brachybacterium_ginsengisoli,rplB,449.9,NZ_CP023564.1_908/1-276,Brachybacterium_ginsengisoli_rplB
221,Brachybacterium_paraconglomeratum,rplB,448.9,NZ_ML133854.1_85/1-276,Brachybacterium_paraconglomeratum_rplB
222,Brachymonas_chironomi,rplB,436.0,NZ_KB894789.1_10/1-274,Brachymonas_chironomi_rplB
223,Brachyspira_aalborgi,rplB,420.0,NZ_SAYK01000008.1_402/1-277,Brachyspira_aalborgi_rplB
224,Brachyspira_pilosicoli,rplB,426.0,NC_014330.1_992/1-277,Brachyspira_pilosicoli_rplB
225,Bradyrhizobium_denitrificans,rplB,453.2,NZ_JAFCLK010000002.1_232/1-276,Bradyrhizobium_denitrificans_rplB
226,Bradyrhizobium_elkanii,rplB,450.1,NZ_AP013103.1_4577/1-276,Bradyrhizobium_elkanii_rplB
227,Bradyrhizobium_icense,rplB,453.1,NZ_CP016428.1_3475/1-276,Bradyrhizobium_icense_rplB
228,Bradyrhizobium_japonicum,rplB,446.9,NZ_CP058354.1_5174/1-276,Bradyrhizobium_japonicum_rplB
