description,hit_id,targ_id,target_len,hit_score,hit_evalue,hit_bias,hsp_len,hsp_score,hsp_evalue_cond,hsp_evalue_ind,hsp_bias,output_table
Acinetobacter_pittii_rplB,NC_016603.1_2528/1-272,NC_016603.1_2528,275,455.6,1.2e-137,9.3,272,455.5,3.7e-141,1.3e-137,9.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_pittii_rplB.domtblout
Acinetobacter_radioresistens_rplB,NZ_CP030031.1_2456/1-272,NZ_CP030031.1_2456,275,457.1,3.4e-138,9.6,272,456.9,1.3e-141,3.7e-138,9.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_radioresistens_rplB.domtblout
Acinetobacter_septicus_rplB,NZ_CP079898.1_1623/1-272,NZ_CP079898.1_1623,275,455.9,9.8e-138,10.3,272,455.8,3e-141,1.1e-137,10.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Acinetobacter_septicus_rplB.domtblout
Actinobacillus_capsulatus_rplB,NZ_KB893947.1_26/1-271,NZ_KB893947.1_26,274,471.5,1.3e-142,8.6,271,471.3,5.6e-146,1.4e-142,8.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinobacillus_capsulatus_rplB.domtblout
Actinobacillus_pleuropneumoniae_rplB,NZ_LR134515.1_1872/1-271,NZ_LR134515.1_1872,274,471.7,9.2e-143,9.3,271,471.6,4.7e-146,1e-142,9.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinobacillus_pleuropneumoniae_rplB.domtblout
Actinomyces_canis_rplB,NZ_RQZF01000003.1_208/1-276,NZ_RQZF01000003.1_208,279,460.6,2.3e-139,8.4,276,460.4,1.2e-142,2.5e-139,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_canis_rplB.domtblout
Actinomyces_cardiffensis_rplB,NZ_CP040505.1_315/1-276,NZ_CP040505.1_315,279,456.0,4.6e-138,8.5,276,455.9,5.6e-141,5.1e-138,8.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_cardiffensis_rplB.domtblout
Actinomyces_georgiae_rplB,NZ_AUBM01000006.1_67/1-276,NZ_AUBM01000006.1_67,279,458.4,1e-138,8.0,276,458.2,5.5e-142,1.2e-138,8.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_georgiae_rplB.domtblout
Actinomyces_graevenitzii_rplB,NZ_PNHV01000007.1_57/1-276,NZ_PNHV01000007.1_57,279,467.3,1.7e-141,9.7,276,467.1,1.1e-144,1.9e-141,9.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_graevenitzii_rplB.domtblout
Actinomyces_naeslundii_rplB,NZ_CP066049.1_2582/1-276,NZ_CP066049.1_2582,279,456.1,6.5e-138,10.5,276,455.9,2.8e-141,7.2e-138,10.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_naeslundii_rplB.domtblout
Actinomyces_neuii_rplB,NZ_PKKO01000002.1_68/1-276,NZ_PKKO01000002.1_68,279,453.7,2.8e-137,6.1,276,453.6,1.4e-140,3.1e-137,6.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_neuii_rplB.domtblout
Actinomyces_oris_rplB,NZ_CP066060.1_1694/1-276,NZ_CP066060.1_1694,279,457.0,3.4e-138,10.4,276,456.8,1.5e-141,3.8e-138,10.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_oris_rplB.domtblout
Actinomyces_turicensis_rplB,NZ_JH815209.1_561/1-276,NZ_JH815209.1_561,279,456.9,2.4e-138,9.1,276,456.7,1.6e-141,2.7e-138,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_turicensis_rplB.domtblout
Actinomyces_urogenitalis_rplB,NZ_PKHA01000008.1_23/1-276,NZ_PKHA01000008.1_23,279,460.1,3.1e-139,10.1,276,459.9,1.6e-142,3.4e-139,10.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_urogenitalis_rplB.domtblout
Actinomyces_viscosus_rplB,NZ_LR134477.1_2833/1-276,NZ_LR134477.1_2833,279,457.5,2.7e-138,10.5,276,457.3,1e-141,2.9e-138,10.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Actinomyces_viscosus_rplB.domtblout
Adlercreutzia_equolifaciens_rplB,NC_022567.1_1481/37-313,NC_022567.1_1481,315,476.7,2.9e-144,9.1,277,476.4,1.5e-147,3.5e-144,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Adlercreutzia_equolifaciens_rplB.domtblout
Aerococcus_viridans_rplB,NZ_CP014164.1_388/1-276,NZ_CP014164.1_388,278,466.2,3.9e-141,11.7,276,466.1,2.2e-144,4.4e-141,11.7,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aerococcus_viridans_rplB.domtblout
Aeromicrobium_massiliense_rplB,NZ_HE978636.1_236/1-274,NZ_HE978636.1_236,277,458.4,1.6e-138,10.2,274,458.3,5.2e-142,1.7e-138,10.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromicrobium_massiliense_rplB.domtblout
Aeromonas_allosaccharophila_rplB,NZ_CP065745.1_2866/1-272,NZ_CP065745.1_2866,274,475.3,1.4e-143,9.2,272,475.1,3.8e-147,1.6e-143,9.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_allosaccharophila_rplB.domtblout
Aeromonas_bestiarum_rplB,NZ_PPUX01000011.1_112/1-272,NZ_PPUX01000011.1_112,274,474.8,2.1e-143,9.3,272,474.6,5.4e-147,2.3e-143,9.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_bestiarum_rplB.domtblout
Aeromonas_caviae_rplB,NZ_AP022254.1_3787/1-272,NZ_AP022254.1_3787,274,475.0,1.7e-143,8.8,272,474.8,4.7e-147,1.9e-143,8.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_caviae_rplB.domtblout
Aeromonas_enteropelogenes_rplB,NZ_CP084358.1_989/1-272,NZ_CP084358.1_989,274,474.6,2.2e-143,9.2,272,474.4,6.4e-147,2.5e-143,9.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_enteropelogenes_rplB.domtblout
Aeromonas_hydrophila_rplB,NZ_CP050851.1_288/1-272,NZ_CP050851.1_288,274,474.0,3.4e-143,9.3,272,473.9,9.2e-147,3.8e-143,9.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_hydrophila_rplB.domtblout
Aeromonas_jandaei_rplB,NZ_CP066092.1_2272/1-272,NZ_CP066092.1_2272,274,474.8,2.1e-143,9.1,272,474.6,5.6e-147,2.3e-143,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_jandaei_rplB.domtblout
Aeromonas_media_rplB,NZ_CP075564.1_203/1-272,NZ_CP075564.1_203,274,474.6,2.3e-143,9.2,272,474.4,6.2e-147,2.5e-143,9.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_media_rplB.domtblout
Aeromonas_punctata_rplB,NZ_AP022254.1_3787/1-272,NZ_AP022254.1_3787,274,475.0,1.7e-143,8.8,272,474.8,4.7e-147,1.9e-143,8.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_punctata_rplB.domtblout
Aeromonas_tecta_rplB,NZ_CDCA01000034.1_146/1-272,NZ_CDCA01000034.1_146,274,474.1,3.3e-143,9.1,272,474.0,8.6e-147,3.7e-143,9.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_tecta_rplB.domtblout
Aeromonas_trota_rplB,NZ_CP084358.1_989/1-272,NZ_CP084358.1_989,274,474.6,2.2e-143,9.2,272,474.4,6.4e-147,2.5e-143,9.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_trota_rplB.domtblout
Aeromonas_veronii_rplB,NZ_CP044060.1_2645/1-272,NZ_CP044060.1_2645,274,475.3,1.4e-143,9.2,272,475.1,3.8e-147,1.5e-143,9.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aeromonas_veronii_rplB.domtblout
Afipia_birgiae_rplB,NZ_HG326652.1_569/1-277,NZ_HG326652.1_569,279,452.1,2.1e-136,8.4,277,451.9,4.4e-140,2.3e-136,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Afipia_birgiae_rplB.domtblout
Aggregatibacter_actinomycetemcomitans_rplB,NZ_JABKAH010000015.1_34/1-271,NZ_JABKAH010000015.1_34,274,470.2,2.4e-142,9.3,271,470.1,1.3e-145,2.7e-142,9.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aggregatibacter_actinomycetemcomitans_rplB.domtblout
Aggregatibacter_segnis_rplB,NZ_LS483443.1_589/1-271,NZ_LS483443.1_589,274,469.7,3.2e-142,9.3,271,469.6,1.9e-145,3.6e-142,9.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aggregatibacter_segnis_rplB.domtblout
Agrobacterium_tumefaciens_rplB,NZ_CP033031.1_1571/1-277,NZ_CP033031.1_1571,279,451.0,4.3e-136,6.1,277,450.9,9.4e-140,4.7e-136,6.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Agrobacterium_tumefaciens_rplB.domtblout
Agrococcus_jejuensis_rplB,NZ_LT629695.1_999/1-278,NZ_LT629695.1_999,280,459.6,6.6e-139,7.4,278,459.5,2.3e-142,7.3e-139,7.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Agrococcus_jejuensis_rplB.domtblout
Agrococcus_terreus_rplB,NZ_BMLM01000001.1_506/1-277,NZ_BMLM01000001.1_506,280,459.8,4.8e-139,7.4,277,459.7,4e-142,5.3e-139,7.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Agrococcus_terreus_rplB.domtblout
Akkermansia_muciniphila_rplB,NZ_AP021898.1_360/1-277,NZ_AP021898.1_360,279,421.8,1.6e-127,6.4,277,421.7,7.4e-131,1.8e-127,6.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Akkermansia_muciniphila_rplB.domtblout
Alcaligenes_faecalis_rplB,NZ_CP013119.1_2184/1-274,NZ_CP013119.1_2184,276,465.9,9.8e-141,9.5,274,465.7,2.8e-144,1.1e-140,9.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alcaligenes_faecalis_rplB.domtblout
Aliagarivorans_marinus_rplB,NZ_AUBY01000023.1_29/1-273,NZ_AUBY01000023.1_29,275,483.9,3.5e-146,9.8,273,483.8,8.8e-150,3.9e-146,9.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aliagarivorans_marinus_rplB.domtblout
Alistipes_finegoldii_rplB,NZ_JADMWR010000006.1_109/1-273,NZ_JADMWR010000006.1_109,275,434.8,2e-131,5.6,273,434.7,8.2e-135,2.2e-131,5.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes_finegoldii_rplB.domtblout
Alistipes-ihumii-AP11-MAF-2_rplB,1_1197/1-273,1_1197,275,439.4,6.5e-133,5.0,273,439.3,3.2e-136,7.3e-133,5.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes-ihumii-AP11-MAF-2_rplB.domtblout
Alistipes-indistinctus-YIT-12060-MAF-2_rplB,1_1742/1-265,1_1742,267,417.1,4.3e-126,3.4,265,417.0,2e-129,4.8e-126,3.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes-indistinctus-YIT-12060-MAF-2_rplB.domtblout
Alistipes_obesi_rplB,NZ_AP019735.1_1023/1-273,NZ_AP019735.1_1023,275,429.2,1e-129,6.4,273,429.0,4.3e-133,1.2e-129,6.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes_obesi_rplB.domtblout
Alistipes-onderdonkii-DSM-19147-MAF-2_rplB,1_1040/1-273,1_1040,275,434.9,2.1e-131,6.3,273,434.8,7.6e-135,2.4e-131,6.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes-onderdonkii-DSM-19147-MAF-2_rplB.domtblout
Alistipes-putredinis-DSM-17216-MAF-2_rplB,1_2049/1-273,1_2049,275,432.1,1.1e-130,6.5,273,432.0,5.4e-134,1.3e-130,6.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes-putredinis-DSM-17216-MAF-2_rplB.domtblout
Alistipes-senegalensis-JC50-MAF-2_rplB,1_1105/1-273,1_1105,275,434.4,3.2e-131,6.3,273,434.2,1.1e-134,3.5e-131,6.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes-senegalensis-JC50-MAF-2_rplB.domtblout
Alistipes-shahii-WAL-8301-MAF-2_rplB,1_1326/1-273,1_1326,275,434.2,3.7e-131,5.6,273,434.0,1.3e-134,4.1e-131,5.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes-shahii-WAL-8301-MAF-2_rplB.domtblout
Alistipes_timonensis_rplB,NZ_FNRI01000004.1_176/1-273,NZ_FNRI01000004.1_176,275,432.6,9.2e-131,6.0,273,432.5,3.8e-134,1e-130,6.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alistipes_timonensis_rplB.domtblout
Allisonella_histaminiformans_rplB,NZ_FMXA01000004.1_78/1-275,NZ_FMXA01000004.1_78,276,474.0,1.3e-143,5.0,275,473.8,9.6e-147,1.5e-143,5.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Allisonella_histaminiformans_rplB.domtblout
Alloprevotella_tannerae_rplB,NZ_GG700642.1_1077/1-273,NZ_GG700642.1_1077,275,430.7,2.8e-130,4.4,273,430.6,1.4e-133,3.1e-130,4.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alloprevotella_tannerae_rplB.domtblout
Alloscardovia_omnicolens_rplB,NZ_PKGT01000004.1_126/1-274,NZ_PKGT01000004.1_126,277,429.0,6.7e-130,8.0,274,428.8,5e-133,7.5e-130,8.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Alloscardovia_omnicolens_rplB.domtblout
Anaerobiospirillum_succiniciproducens_rplB,NZ_AXWV01000087.1_19/1-271,NZ_AXWV01000087.1_19,272,436.4,5.4e-132,7.2,271,436.3,2.6e-135,6e-132,7.2,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerobiospirillum_succiniciproducens_rplB.domtblout
Anaerobiospirillum_thomasii_rplB,NZ_UAPU01000007.1_882/1-271,NZ_UAPU01000007.1_882,272,439.7,6.3e-133,6.0,271,439.5,2.7e-136,7e-133,6.0,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerobiospirillum_thomasii_rplB.domtblout
Anaerobutyricum_hallii_rplB,NZ_QSID01000001.1_149/1-278,NZ_QSID01000001.1_149,281,470.6,2.9e-142,7.9,278,470.4,1.1e-145,3.2e-142,7.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerobutyricum_hallii_rplB.domtblout
Anaerococcus_hydrogenalis_rplB,NZ_PNHP01000003.1_135/1-277,NZ_PNHP01000003.1_135,278,457.5,1.6e-138,10.4,277,457.3,1e-141,1.8e-138,10.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerococcus_hydrogenalis_rplB.domtblout
Anaerococcus_murdochii_rplB,NZ_JAIPME010000002.1_382/1-277,NZ_JAIPME010000002.1_382,278,450.0,3.8e-136,9.4,277,449.8,2e-139,4.3e-136,9.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerococcus_murdochii_rplB.domtblout
Anaerococcus_obesiensis_rplB,NZ_CP067016.1_925/1-277,NZ_CP067016.1_925,278,456.9,2.6e-138,9.8,277,456.8,1.5e-141,2.9e-138,9.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerococcus_obesiensis_rplB.domtblout
Anaerococcus_octavius_rplB,NZ_UFTA01000002.1_1328/3-275,NZ_UFTA01000002.1_1328,277,451.9,8.3e-137,5.9,273,451.7,5.2e-140,9.2e-137,5.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerococcus_octavius_rplB.domtblout
Anaerococcus_prevotii_rplB,NZ_UFSY01000001.1_1669/1-277,NZ_UFSY01000001.1_1669,278,454.7,1.2e-137,9.5,277,454.5,7.3e-141,1.3e-137,9.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerococcus_prevotii_rplB.domtblout
Anaerococcus_senegalensis_rplB,NZ_HE578908.1_77/1-277,NZ_HE578908.1_77,278,457.9,1.2e-138,9.8,277,457.8,7.5e-142,1.3e-138,9.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerococcus_senegalensis_rplB.domtblout
Anaerococcus_vaginalis_rplB,NZ_CP066014.1_309/1-277,NZ_CP066014.1_309,278,456.9,2.3e-138,9.8,277,456.8,1.5e-141,2.6e-138,9.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerococcus_vaginalis_rplB.domtblout
Anaerofustis_stercorihominis_rplB,NZ_DS560019.1_967/1-275,NZ_DS560019.1_967,278,478.0,1.1e-144,11.6,275,477.9,5.5e-148,1.2e-144,11.6,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerofustis_stercorihominis_rplB.domtblout
Anaerorhabdus_furcosa_rplB,NZ_FUWY01000010.1_31/1-276,NZ_FUWY01000010.1_31,278,467.4,2.1e-141,10.8,276,467.2,9.9e-145,2.3e-141,10.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerorhabdus_furcosa_rplB.domtblout
Anaerostipes_butyraticus_rplB,NZ_BLYI01000046.1_23/1-278,NZ_BLYI01000046.1_23,281,470.1,4.3e-142,9.5,278,469.9,1.5e-145,4.7e-142,9.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerostipes_butyraticus_rplB.domtblout
Anaerostipes-caccae-DSM-14662-MAF-2_rplB,1_3101/1-278,1_3101,281,465.5,1.1e-140,8.8,278,465.4,3.6e-144,1.3e-140,8.8,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerostipes-caccae-DSM-14662-MAF-2_rplB.domtblout
Anaerostipes_coli_rplB,NC_021016.1_590/1-279,NC_021016.1_590,282,465.9,7.9e-141,8.4,279,465.7,2.8e-144,8.8e-141,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerostipes_coli_rplB.domtblout
Anaerostipes_hadrus_rplB,NC_021016.1_590/1-279,NC_021016.1_590,282,465.9,7.9e-141,8.4,279,465.7,2.8e-144,8.8e-141,8.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerostipes_hadrus_rplB.domtblout
Anaerotruncus-colihominis-DSM-17241-MAF-2_rplB,1_3366/1-276,1_3366,278,457.7,2.8e-138,2.3,276,457.5,9e-142,3.2e-138,2.3,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Anaerotruncus-colihominis-DSM-17241-MAF-2_rplB.domtblout
Ancylobacter_polymorphus_rplB,NZ_CP083239.1_3471/1-276,NZ_CP083239.1_3471,278,448.5,2.4e-135,6.4,276,448.4,5.4e-139,2.7e-135,6.4,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Ancylobacter_polymorphus_rplB.domtblout
Aneurinibacillus_aneurinilyticus_rplB,NZ_JABAGO010000032.1_39/1-277,NZ_JABAGO010000032.1_39,278,483.9,4.2e-146,10.1,277,483.7,9.2e-150,4.7e-146,10.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aneurinibacillus_aneurinilyticus_rplB.domtblout
Aneurinibacillus_migulanus_rplB,NZ_LGUG01000009.1_39/1-277,NZ_LGUG01000009.1_39,278,483.5,7e-146,10.1,277,483.3,1.2e-149,7.8e-146,10.1,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aneurinibacillus_migulanus_rplB.domtblout
Aquabacterium_commune_rplB,NZ_SNXW01000007.1_235/1-273,NZ_SNXW01000007.1_235,275,457.3,3.8e-138,10.9,273,457.2,1.1e-141,4.2e-138,10.9,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aquabacterium_commune_rplB.domtblout
Aquabacterium_parvum_rplB,NZ_LFRI01000245.1_53/1-273,NZ_LFRI01000245.1_53,275,456.9,6.4e-138,10.5,273,456.7,1.6e-141,7.1e-138,10.5,/scratch/users/reb26/propionate_project/out/hmmer_search/housekeeping/rplB/hmmer_output/Aquabacterium_parvum_rplB.domtblout
