"","strain","hit_score.atoA","hit_id.atoA","description.atoA","hit_score.atoD","hit_id.atoD","description.atoD","hit_score.bcd","hit_id.bcd","description.bcd","hit_score.kce","hit_id.kce","description.kce","hit_score.kal","hit_id.kal","description.kal","hit_score.kamA","hit_id.kamA","description.kamA","hit_score.kamD","hit_id.kamD","description.kamD","hit_score.kamE","hit_id.kamE","description.kamE","hit_score.kdd","hit_id.kdd","description.kdd","pathway","hit_score.thl","hit_id.thl","description.thl","hit_score.cro","hit_id.cro","description.cro","hit_score.hbd","hit_id.hbd","description.hbd","hit_score.ptb","hit_id.ptb","description.ptb","hit_score.buk","hit_id.buk","description.buk","hit_score.but","hit_id.but","description.but","hit_score.gcdA","hit_id.gcdA","description.gcdA","hit_score.gcdB","hit_id.gcdB","description.gcdB","hit_score.gctA","hit_id.gctA","description.gctA","hit_score.gctB","hit_id.gctB","description.gctB","hit_score.hgdA","hit_id.hgdA","description.hgdA","hit_score.hgdB","hit_id.hgdB","description.hgdB","hit_score.hgdC","hit_id.hgdC","description.hgdC","hit_score.abfD","hit_id.abfD","description.abfD","hit_score.abfT","hit_id.abfT","description.abfT","hit_score.abfH","hit_id.abfH","description.abfH"
"13","Flavonifractor_plautii",355.5,"NZ_CP048436.1_81/1-218","Flavonifractor_plautii_atoA",307.2,"NZ_CP048436.1_82/3-227","Flavonifractor_plautii_atoD",923.7,"NZ_CP048436.1_1250/1-636","Flavonifractor_plautii_bcd",432.6,"NZ_CP048436.1_3622/1-271","Flavonifractor_plautii_kce",223.1,"NZ_CP048436.1_2842/6-129","Flavonifractor_plautii_kal",701.9,"NZ_CP048436.1_3624/4-416","Flavonifractor_plautii_kamA",965.3,"NZ_CP048436.1_3625/3-518","Flavonifractor_plautii_kamD",456.8,"NZ_CP048436.1_3626/1-260","Flavonifractor_plautii_kamE",587.2,"NZ_CP048436.1_3623/2-345","Flavonifractor_plautii_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Fusobacterium_gonidiaformans",372.1,"NZ_CP028106.1_618/4-219","Fusobacterium_gonidiaformans_atoA",365.6,"NZ_CP028106.1_617/1-215","Fusobacterium_gonidiaformans_atoD",937.7,"NZ_CP028106.1_697/1-636","Fusobacterium_gonidiaformans_bcd",467.8,"NZ_CP028106.1_979/1-270","Fusobacterium_gonidiaformans_kce",234.2,"NZ_CP028106.1_978/1-127","Fusobacterium_gonidiaformans_kal",707.1,"NZ_CP028106.1_981/3-410","Fusobacterium_gonidiaformans_kamA",981.2,"NZ_CP028106.1_984/3-519","Fusobacterium_gonidiaformans_kamD",477.3,"NZ_CP028106.1_985/1-261","Fusobacterium_gonidiaformans_kamE",599.4,"NZ_CP028106.1_980/1-344","Fusobacterium_gonidiaformans_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Fusobacterium_necrophorum",369.2,"NZ_VZOZ01000004.1_153/4-219","Fusobacterium_necrophorum_atoA",370,"NZ_VZOZ01000004.1_154/1-215","Fusobacterium_necrophorum_atoD",937.9,"NZ_VZOZ01000002.1_5/1-636","Fusobacterium_necrophorum_bcd",465.7,"NZ_VZOZ01000008.1_60/1-270","Fusobacterium_necrophorum_kce",234,"NZ_VZOZ01000008.1_59/1-127","Fusobacterium_necrophorum_kal",707.2,"NZ_VZOZ01000008.1_62/3-410","Fusobacterium_necrophorum_kamA",982.1,"NZ_VZOZ01000008.1_65/3-519","Fusobacterium_necrophorum_kamD",477.7,"NZ_VZOZ01000008.1_66/1-261","Fusobacterium_necrophorum_kamE",600.5,"NZ_VZOZ01000008.1_61/1-344","Fusobacterium_necrophorum_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Fusobacterium_nucleatum",369.3,"NZ_LN831027.1_470/3-217","Fusobacterium_nucleatum_atoA",359.8,"NZ_LN831027.1_469/3-216","Fusobacterium_nucleatum_atoD",938.5,"NZ_LN831027.1_1977/1-635","Fusobacterium_nucleatum_bcd",475.2,"NZ_LN831027.1_458/1-271","Fusobacterium_nucleatum_kce",232.7,"NZ_LN831027.1_457/1-126","Fusobacterium_nucleatum_kal",715.3,"NZ_LN831027.1_460/1-419","Fusobacterium_nucleatum_kamA",999.8,"NZ_LN831027.1_463/2-516","Fusobacterium_nucleatum_kamD",481.9,"NZ_LN831027.1_464/1-261","Fusobacterium_nucleatum_kamE",610.1,"NZ_LN831027.1_459/1-344","Fusobacterium_nucleatum_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Fusobacterium_periodonticum",368.7,"NZ_GG665893.1_157/3-215","Fusobacterium_periodonticum_atoA",366.2,"NZ_GG665893.1_158/3-216","Fusobacterium_periodonticum_atoD",937.8,"NZ_GG665895.1_21/1-636","Fusobacterium_periodonticum_bcd",474.6,"NZ_GG665893.1_168/1-271","Fusobacterium_periodonticum_kce",231.8,"NZ_GG665893.1_169/1-126","Fusobacterium_periodonticum_kal",712.8,"NZ_GG665893.1_166/1-419","Fusobacterium_periodonticum_kamA",999.1,"NZ_GG665893.1_163/2-516","Fusobacterium_periodonticum_kamD",483.5,"NZ_GG665893.1_162/1-261","Fusobacterium_periodonticum_kamE",604.1,"NZ_GG665893.1_167/1-344","Fusobacterium_periodonticum_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Fusobacterium_russii",351.8,"NZ_KB906926.1_29/3-214","Fusobacterium_russii_atoA",365.6,"NZ_KB906926.1_28/3-216","Fusobacterium_russii_atoD",922.7,"NZ_KB906906.1_29/1-634","Fusobacterium_russii_bcd",465.5,"NZ_KB906912.1_6/1-271","Fusobacterium_russii_kce",236.2,"NZ_KB906912.1_5/1-127","Fusobacterium_russii_kal",703.8,"NZ_KB906912.1_8/3-419","Fusobacterium_russii_kamA",998.9,"NZ_KB906912.1_11/1-518","Fusobacterium_russii_kamD",479.8,"NZ_KB906912.1_12/1-261","Fusobacterium_russii_kamE",600.4,"NZ_KB906912.1_7/1-344","Fusobacterium_russii_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Fusobacterium_varium",374.6,"NZ_CP028103.1_1540/4-219","Fusobacterium_varium_atoA",368.1,"NZ_CP028103.1_1539/3-215","Fusobacterium_varium_atoD",929.8,"NZ_CP028103.1_1632/1-636","Fusobacterium_varium_bcd",472.1,"NZ_CP028103.1_2768/1-271","Fusobacterium_varium_kce",233.6,"NZ_CP028103.1_2769/1-127","Fusobacterium_varium_kal",723.6,"NZ_CP028103.1_2766/3-414","Fusobacterium_varium_kamA",1006,"NZ_CP028103.1_2763/1-517","Fusobacterium_varium_kamD",482.4,"NZ_CP028103.1_2762/1-261","Fusobacterium_varium_kamE",601.3,"NZ_CP028103.1_2767/1-345","Fusobacterium_varium_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Intestinimonas_butyriciproducens",351.5,"NZ_MJII01000001.1_2212/1-219","Intestinimonas_butyriciproducens_atoA",319.7,"NZ_MJII01000001.1_2017/1-213","Intestinimonas_butyriciproducens_atoD",910.8,"NZ_MJII01000001.1_1425/1-635","Intestinimonas_butyriciproducens_bcd",419.8,"NZ_MJII01000001.1_210/1-271","Intestinimonas_butyriciproducens_kce",233.3,"NZ_MJII01000001.1_209/4-128","Intestinimonas_butyriciproducens_kal",697.6,"NZ_MJII01000001.1_212/5-422","Intestinimonas_butyriciproducens_kamA",976.6,"NZ_MJII01000001.1_213/3-517","Intestinimonas_butyriciproducens_kamD",454.6,"NZ_MJII01000001.1_214/1-260","Intestinimonas_butyriciproducens_kamE",583.7,"NZ_MJII01000001.1_211/2-345","Intestinimonas_butyriciproducens_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Lachnoanaerobaculum_umeaense",329.2,"NZ_CP032364.1_2326/2-213","Lachnoanaerobaculum_umeaense_atoA",336.3,"NZ_CP032364.1_2325/19-232","Lachnoanaerobaculum_umeaense_atoD",925.4,"NZ_CP032364.1_1150/1-634","Lachnoanaerobaculum_umeaense_bcd",459.5,"NZ_CP032364.1_711/1-272","Lachnoanaerobaculum_umeaense_kce",225.3,"NZ_CP032364.1_710/1-127","Lachnoanaerobaculum_umeaense_kal",695.9,"NZ_CP032364.1_713/6-417","Lachnoanaerobaculum_umeaense_kamA",968.4,"NZ_CP032364.1_714/1-515","Lachnoanaerobaculum_umeaense_kamD",468.2,"NZ_CP032364.1_715/1-260","Lachnoanaerobaculum_umeaense_kamE",569,"NZ_CP032364.1_712/1-344","Lachnoanaerobaculum_umeaense_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Odoribacter_laneus",383.1,"NZ_JH594596.1_2048/1-218","Odoribacter_laneus_atoA",356.2,"NZ_JH594596.1_2057/1-214","Odoribacter_laneus_atoD",775.5,"NZ_JH594596.1_2047/1-379","Odoribacter_laneus_bcd",455.5,"NZ_JH594596.1_2055/1-272","Odoribacter_laneus_kce",236,"NZ_JH594596.1_2056/1-127","Odoribacter_laneus_kal",701,"NZ_JH594596.1_2053/3-411","Odoribacter_laneus_kamA",992.8,"NZ_JH594596.1_2050/3-515","Odoribacter_laneus_kamD",483.5,"NZ_JH594596.1_2049/1-261","Odoribacter_laneus_kamE",629.1,"NZ_JH594596.1_2054/1-346","Odoribacter_laneus_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Odoribacter_splanchnicus",382.3,"NZ_CP086000.1_1131/1-217","Odoribacter_splanchnicus_atoA",357.6,"NZ_CP086000.1_1140/1-215","Odoribacter_splanchnicus_atoD",777.2,"NZ_CP086000.1_1130/1-379","Odoribacter_splanchnicus_bcd",441.2,"NZ_CP086000.1_1138/1-273","Odoribacter_splanchnicus_kce",228.3,"NZ_CP086000.1_1139/1-123","Odoribacter_splanchnicus_kal",703.6,"NZ_CP086000.1_1136/3-411","Odoribacter_splanchnicus_kamA",999.3,"NZ_CP086000.1_1133/1-515","Odoribacter_splanchnicus_kamD",493.3,"NZ_CP086000.1_1132/1-261","Odoribacter_splanchnicus_kamE",627.5,"NZ_CP086000.1_1137/1-346","Odoribacter_splanchnicus_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Porphyromonas_asaccharolytica",357.1,"NC_015501.1_584/4-221","Porphyromonas_asaccharolytica_atoA",349.4,"NC_015501.1_575/1-213","Porphyromonas_asaccharolytica_atoD",751.7,"NC_015501.1_585/1-379","Porphyromonas_asaccharolytica_bcd",425.8,"NC_015501.1_577/1-272","Porphyromonas_asaccharolytica_kce",229.8,"NC_015501.1_576/1-123","Porphyromonas_asaccharolytica_kal",701.3,"NC_015501.1_579/3-414","Porphyromonas_asaccharolytica_kamA",975.3,"NC_015501.1_582/3-517","Porphyromonas_asaccharolytica_kamD",484.7,"NC_015501.1_583/1-260","Porphyromonas_asaccharolytica_kamE",630.1,"NC_015501.1_578/2-347","Porphyromonas_asaccharolytica_kdd","lysine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
